Ideia / Problema / Oportunidade,Experimentação,Piloto,Escala,Iniciativa,Descrição,Unnamed: 6,#,Situação Atual e Próximos passos,Área,Sponsor/BO,Times,Início ,Previsão de Término,Mês Conclusão,Ano Conclusão,Tecnologia,Histórico e Apredizados,Datas perdidas,Data de Atualização,Ordem,Ganhos
Concluido,Concluido com Pivot,,,Cálculo Trabalhista,"Realizar os cálculos prévios sem o envolvimento do escritório de contabilidade, extraindo dos processos todas as informações que compõem a memória de cálculo. Mantendo o escritório de contabilidade tão somente para validação do cálculo que antecede o pagamento",,3.0,Custos do especialista de contabilidade muito alto para dar continuidade. 1MM.,Processos Trabalhistas,Paulo Viveiros / Poliana,HITSS,2024-03-01,,3.0,2024.0,Gen AI,,,,,
Concluido,Concluido,Em andamento,,URA e Call Center Cognitivo,"Entendimento de intenção e direcionamento
mais rápido na URA para: oferta de Auto Serviço
ou correto atendimento especializado",,3.0,Projeto ativo com os clientes do DDD 16 que possuem produto Móvel Controle2,Atendimento,Celso Tonet,TI-Time Infra Call Center,,,,,Gen AI,,,,,
Concluido,Concluido,Não iniciado,,Buscador Conteúdo Música por IA,"Criar ferramenta que orienta vendedores em tempo real de acordo com demandas dos clientes, usando knowledge base e recomendando scripts e produtos",,3.0,Processo de adoção finalizado.   Piloto ainda não iniciado.,iMusica,"Diogo/
Copelli",TI / iMusica,,,6.0,2024.0,Gen AI,,,,,
Concluido,Em andamento,,,Copilot Desenvolvimento de Códigos,Suporte para aumentar a produtividade do desenvolvimento.,,3.0,Copilot Desenvolvimento: apresentar ficha do experimento na próxima agenda – resp: Gaiotto,TI,"Cesar/
Gaiotto",TI  Big Data Analytics,2025-03-01,2025-12-01 00:00:00,8.0,2023.0,Gen AI,,,2025-08-12,,
Concluido,Em backlog,,,Calculadora de Valor Futuro para processos judiciais,"Calculadora que o jurídico possa utilizar para auxiliar na tomada de decisão, face aos processos em fase de execução. Dados como expectativa de julgamento (tempo varia de acordo com cada localidade/Tribunal) são utilizados para prever o valor final.",,3.0,Reunião com a HITSS dia 25/11 para avaliar se funcionalidades pdoeriam ser acopladas ao sistema sendo desenvolvida. A principio a HITSS se interessa pela iniciativa.,Processos Trabalhistas,TBD / Janaina Machado,HITSS,,,,,Gen AI,,,2025-05-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,Não iniciado,,STT - Whisper,Avaliar se a ferramenta de Speech-To-Text OpenAI Whisper tem um nível de maturidade que permita ser alternativas (custo x acuraria) a outras ferramentas.,,3.0,Reunião com a HITSS para transferencia de tecnologia (nuvem da Oracle).,beOn,Assad,TI / HITSS,,,8.0,2024.0,Gen AI,,,2025-05-08,,
Concluido,Arquivado,,,Análise de Contatos de Retenção - Motivo Cancelamento,"Classificação dos motivos de churn de 15 cidades a partir de pesquisa com clientes e atendimentos.

Quando o cliente solicita cancelamento na central é questionado ao cliente por qual motivo ele está cancelando sua linha/contrato e com a IA para termos as informações desses motivos o pedido é trazer os maiores motivos de cancelamento",,3.0,"Aguardando priorização no squad de speech analytics, sem necessidade de experimentação",Canais Remotos,Andreia Maldonado,TI-Time Infra Call Center,,,,,Gen AI,,,,,
Concluido,Concluido,,,Open WebUI,Interface para uso de IA que integra diversos modelos LLM.,,1.0,"Instalamos em um ambiente para testes e configurações (OK). Estamos utilizando plataformas como essa para testes, principalmente que necessitam de RAG",TI,Gaiotto,TI,,,,,Gen AI,,,,,
Concluido,Concluido com Pivot,,,Autoinspeção - Ciclo 1,Utilizar LLM Multimodais pra analisar imagens de instalação ou manutenção da rede e indicar ao técnico o serviço correto.,,3.0,"Escopo 1: Ancoragem = 82%, Escopo 2: Identificação do cabo = 96%. Próximos passos: testar modelo 4o-mini com mais amostras.",Infraestrutura,TBD / Pietro,TI,,,8.0,2024.0,Gen AI,,,,,
Concluído,Em andamento,,,Agente de IA RH - Copilot,"agente de IA será a primeira linha de suporte de RH, lidando com dúvidas comuns, direcionando os colaboradores para as diversas jornadas de atendimento",,3.0,Em andamento,RH,Carlos Mendes / Luciene / Gaiotto, TI Big Data Analytics / TI Corporativo,,,,,Gen AI,,,2025-07-18,1.0,
Concluido,Concluido com Pivot,,,Skynet offline - Qualcomm,Aplicativo de chat sem necessidade de serviço de dados utilizando o modelo SLM,,3.0,"Aguardando priorização, sponsor para o experimento e smartphone com capacidade para testes.",beOn,Assad,TI,,,9.0,,Gen AI,,,2025-05-08,,
Concluido,Parado ,,,Copiloto de Vendas-Ciclo 3 Geração de Dicas,Gerar dicas baseadas no comportamento dos melhores vendedores de modo a auxiliar os vendedores no aumento de conversão de vendas.,,1.0,"Parado, aguardando término do experimento de Otimização de Baterias  e o envio dos áudios para aumento da amostra para melhorar acurácia.",Canais Remotos,Cristiano / Gilbert,TI,,,,,Gen AI,,,,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Benchmark Claro de Modelos LLM,"Ferramenta de Banchmark de modelos LLM utilizando FAQ da Claro. Modelos: Llama 405b, Gemini 1.5 Pro e GPT 4o",,3.0,Reunião com a HITSS para transferencia de tecnologia (nuvem da Oracle).,beOn,Assad,TI,,,2.0,2025.0,Gen AI,,,2025-05-08,,
Concluido,Parado,,,LLM Guardrail,Controles de segurança que monitoram e ditam a interação do usuário com um aplicativo LLM. ,,3.0,Aguardando diretrizes de seg. e proposta para piloto.,TI Infraestrtura Call Center,Marco Aurélio,TI,,,4.0,2024.0,Gen AI,,,,,
Concluido,Concluido com Arquivamento,,,Analise de Contatos (AWS),Verificar a performance da LLM da AWS em uma tarefa de sumarização e classificação de pedidos/problemas de clientes,,3.0,Cliente não seguiu com a contratação.,beOn,Assad,HITSS,,,,,Gen AI,,,,,
Concluido,Concluido com Pivot,,,Atend. por Voz (Respostas do KB),Skynet. Validar se o ChatGPT consegue gerar respostas de forma similar aos dos melhores atendentes humanos,,1.0,Aprendizados foram utilizados em iniciativas da URA. Inidicado mais experimentos de outros modelos,Atendimento,Tonet / Sybelle,TI,,,5.0,2024.0,Gen AI,,,,,
Concluido,Concluido com Pivot,,,LLM Cache,"Componente que armazena resultados de consultas para reduzir o número de requisições à API, diminuindo custo e tempo de resposta de consultas comuns.",,3.0,Não testado pela área solicitante e sem avanços previistos.,TI Infraestrtura Call Center,Marco Aurélio,TI,,,3.0,2024.0,Gen AI,,,,,
Concluido,Aguardando,,,Finep - LLM Genérica Otimizada para língua Portuguesa,"Plataforma otimizada de modelos de larga e pequena escala (LLM e SLM), que passarão por pré-treinamento e ajuste fino para capturar nuances linguísticasdo português do Brasil.",,3.0,Em fase de defesa na Finep,beOn,Assad,TI,,,,,Gen AI,,,,,
Concluido,Aguardando,,,Finep - LLM  Específica para Atendimento Otimizada para língua Portuguesa,"Plataforma otimizada para Atendimento a partir modelos de larga e pequena escala (LLM e SLM), que passarão por pré-treinamento e ajuste fino para capturar nuances linguísticasdo português do Brasil.",,3.0,Em fase de defesa na Finep,beOn,Assad,TI,,,,,Gen AI,,,,,
Concluido,Aguardando,,,Finep – STT/TTS Português Brasil,"Transcrição e conversão de fala em texto e vice-versa, com customização para sotaques regionais do Brasil",,3.0,Em fase de defesa na Finep,beOn,Assad,TI,,,,,Gen AI,,,,,
Concluido,Em Andamento,,,Identificação de Chamadas de Spam - Etapa 1,Analisar os dados das chamadas dos clientes para identificar possíveis regras que permitam classificar uma ligação como spam.,,1.0,"* Identificamos 1.2MM numeros robocalls. 
* Entramos em contato com Engenharia para avaliar propostas adicionais que possam diferenciar a solução da Claro das demais.
* Alterando o app para suportar o volume de números (pesquisa de numeros do lado server) - avaliando a latência (30/05)",Novos Negócios MVNO,Assad / Thais,beOn Labs,2025-03-01,2025-06-16 00:00:00,,,Outros,,"30/05/2025
31/03/2025
",2025-05-29,,
Concluido,Concluido,Em andamento,,Otimização de Baterias - Ciclo 2,"Otimização da verba destinada na distribuição e aplicação de baterias  centrada na análise de dados comparado ao período de três meses (Jan,Fev, Mar).",,2.0,Squad contratada para desenvolvimento,Infraestrutura,Carlos Souza / Fabiano /Jonas,beOn Labs,,,3.0,2025.0,Analytics,,,2025-05-08,,
Parado,,,,Upscaling / Downscaling na transmissão de vídeo,Otimizar a transmissão de vídeo no uplink de redes 5G utilizando técnicas de rescaling de vídeo. Busca-se economizar recursos de rede e superar as limitações de uplink,,3.0,Buscar soluções de startups e fornecedores. Reunião agendada - 04/12,Engenharia,Oliver,TBD,,,,,Future Network,,,,1.0,
Parado,,,,Movimentações Físicas do realizado e forecast,Utilizar informações do realizado e premissas do forecast para montar simulações e análises comparativas para divulgação em relatórios.,,3.0,Aguardando priorização,Financeiro,TBD,TBD,,,,,Outros,,,,1.0,
Parado,,,,Receita do realizado e forecast,Utilizar informações do realizado e premissas do forecast para montar simulações e análises comparativas para divulgação em relatórios.,,3.0,Aguardando priorização,Financeiro,TBD,TBD,,,,,Outros,,,,1.0,
Concluido,Arquivado,,,TV Record: Retirada de Vídeo de Câmeras de Rua para Mídias sociais,Retirada de vídeos de câmeras de ruas de matérias geradas pelo Cidade Alerta disponibilização em redes sociais. ,,3.0,Em backlog das iniciativas da HITSS,Hitss,Márcio Silva,HITSS,,,,,IA,,,,,
Concluido,Arquivado,,,Seletor de Públicos de Fábrica de Audiências,Proj. Big Data para aumento de performance de dados para o portal de seleção de perfis de público para marketing e produtos da Claro,,3.0,Até o último status seria tocado pela área de Analytics,CBDA,,TI,,,,,Outros,,,,,
Concluido,Parado,,,Saúde 5G,Análise de dados para gerar insights sobre comportamentos sobre  tráfego de rede.,,3.0,Instalação do ambiente LAB (29/05),Engenharia,Silvério,Eng. / Hitss,,,,,Future Network,,,,,
Parado,,,,Análise de resolução de Problemas,Análise de histórico de causas e resoluções de problemas para  reduzir o tempo médio.,,3.0,Aguardando priorização,TI Star One,Camilo,TI Star One,,,,,Outros,,,,1.0,
Concluido,Parado,,,Wi Fi Sensing,utiliza as ondas de Wi-Fi para detectar e interpretar movimentos e presença em um ambiente. ,,3.0,NDA com fornecedor assinado (09/01/2024) e aguardando priorização.,,TBD,TI,,,,,Future Network,,,,,
Concluido,Concluido,Em andamento,,Otimização de Baterias - Ciclo 1,Comparar a disponibilidade dos sites e a autonomia de suas respectivas baterias para redistribuição.,,2.0,Squad contratada para desenvolvimento,Infraestrutura,Carlos Souza / Fabiano /Jonas,beOn Labs,,,7.0,2024.0,Analytics,,,2025-05-08,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,SSI – Onboarding e cancelamento de VT,Comprovar a viabilidade da utilização do stack das tecnologias SSI (Self-sovereign identity) nas jornadas de onboarding de colaboradores e cancelamento de visitas técnicas,,1.0,Não encontramos ainda um Sponsor forte para levar a tecnologua para pioto,,Denis,TI,,,5.0,2024.0,Web 3,,,,,
Concluido,Concluido com Arquivamento,,,TV Record: Reconhecimento de Artistas para Direitos Autorais,Reconhecimento de artistas em cena para somar o tempo de exibição para remuneração.,,3.0,Cliente solicitou uma nova apresentação. Pode voltar,,,HITSS,,,10.0,2024.0,IA,,,,,
Concluido,Concluido,Concluido,Arquivado,Compartilhamento Claro Box,Análise de dados de localização IP do Claro Box para gerar insights de comportamentos de mau uso dos equipamentos relacionado ao plano contratado,,3.0,Piloto em desenvolvimento.,,Parraga / Maluf,TI / Ustore,,,7.0,2024.0,Analytics,,,,,
Concluido,Concluido,Concluido,Arquivado,Logoff Whatsapp,"Desenvolver solução que permita realizar o logoff de contas do WhatsApp, após cancelamento do número pré-pago na Claro. Em média são cancelados 1MM de clientes do Pré-pago por mês.",,3.0,Não houve sucesso no piloto. Whatsapp aplicou regras mais rigorosas,,Paulo Cesar / Fabio Nahoum,TI,,,10.0,2024.0,Outros,,,,,
Concluido,Concluido - Aguardando Go/No para Piloto,,,Claro Pool,"Ferramenta na qual as empresas podem armazenar e organizar seus documentos e arquivos de maneira simples, segura e de baixo custo, e que utiliza a tecnologia de web3.0 - IPFS ",,3.0,Não gerou interesse do negócio em razão do foco em outras proioridades.,,Assad,TI,,,11.0,2023.0,Web 3,,,,,
Concluido,Concluido com Arquivamento,,,XR para Trein. de Instalação do Mesh,Utilização de XR como ferramenta para criação de ambientes imersivos com o objetivo de aprimorar o aprendizado em treinamentos.,,3.0,Experimento Finalizado,beOn,Carlos Souza / Tancredo,TI,,,10.0,2024.0,Web 3,,,,,
Arquivado,,,,Captura de Dados de Ligações para MP,Avaliar se existe a possibilidade de avaliar o conteúdo que o usuário está acessando. Exemplo: qual filme do Netflix,,3.0,"PGW Engenharia consegue capturar até a nivel de dominio.
* Em conversa com Engenharia avalair se a solução VIAVI pode chegar até nivel de conteúdo
Perdeu priorodade e foco.
",beOn,Assad,TI,,,,,Outros,,,,,
Não Iniciado,,,,Leitura e análise de documentos para classificação da melhor testemunha; ,Juridico trabalhista digital ,,1.0,Aguardando priorização,Trabalhista,Welton Lima,,,,,,Gen AI,,,,1.0,
Não Iniciado,,,,"Magistrados e decisões de casos análogos (sentenças, votos, posicionamento ao acompanhar votos por tema e por relator) ","Avaliação preditiva de sentença, votos,realativos a casos similiares (julgamento de merito)",,1.0,Aguardando priorização,Tributario,Bruno Curi,,,,,,Gen AI,,,,1.0,
Não Iniciado,,,,"Admissibilidade de casos análogos no STJ/STF, por relator","Avaliação preditiva de sentença, votos,realativos a casos similiares (admissibilidade de RESP/RE)",,1.0,Aguardando priorização,Tributario,Bruno Curi,,,,,,Gen AI,,,,1.0,
Não Iniciado,,,,Entendimento dos tribunais (administrativos e judiciais) sobre o tema (contencioso e ementário de consulta),"Aplicabilidade no Contencioso e consultivo tributário. Apoio na toma da de decisão, apoia na interpretação  do fisco/tribunais/Procuradorias, etc , de determinados tema sjuridicos/regulatoria,etc (ex. Clipping setoriais com inteligencia de aplicabilidade)",,1.0,Aguardando priorização,Tributario,Bruno Curi,,,,,,Gen AI,,,,1.0,
Não Iniciado,,,,Produção acadêmica e linhas de pesquisa dos magistrados/julgadores administrativos,"Avaliação dos magistrados , curriculos, formações no sentido de melhor formular as defesas ",,1.0,Aguardando priorização,Tributario,Bruno Curi,,,,,,Gen AI,,,,1.0,
Não Iniciado,,,,"SEI-ANATEL: monitorar, atualizar e analisar através de IA, processos na Anatel (varredura processos em andamento ou informados pelo colaborador) . Caso processo Anatel, apresente atualização (documentação nova), a ferramenta deverá puxar, baixar os novos documentos e se possível analisar e entregar um resumo.",Caso Similar ao item  25,,1.0,Aguardando priorização,Regulatorio,Erica Neves,,,,,,Gen AI,,,,1.0,
Não Iniciado,,,, Leitura textual: de todos os documentos (especialmente Ofícios) da Anatel.,"Captura e entendimento das necessidades demandadas por entidades ou orgãos, avaliando as entradas , pertinencia e pontos focais internos. Distribuir internamente, acompanhar o Workflow e realimentar o sistema com retorno da Claro para a entidade pertinente.",,1.0,Aguardando priorização,Regulatorio,Maria do Carmo,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,"Buscador Inteligente: ferramenta que a partir da definição de um tema possa buscar na internet (Anatel, MCOM, Câmara, etc), não só os endereços de sites, mas também baixar documentos associados possíveis () e resumir o que foi encontrado. Esta ferramenta deve permitir o uso de forma pontual (análise de um tema em um determinado momento) ou perene, acompanhando toda movimentação de um tema ao longo de um ciclo (ex. evolução da ORPA de Roaming, cálculo do saldo da Concessão, etc) ","Ganho de tempo de analise de um assunto pertinente , gerando resumos que permitam agilizar/Melhorar SLA de analises pelo regulatório. para Ex. Prover   subsidios/Jurisprudencia  para sustentar defesas/processos",,1.0,Aguardando priorização,Regulatorio,Alexandre Salem,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,"Monitorador de Abertura de Ofícios: ferramenta que avalia no momento da postagem no SEI pela Anatel (antes de serem abertos) todos os ofícios encaminhados para Claro, fazendo um breve resumo do processo que o mesmo está inserido (verificar se outras empresas receberam, quais as cartas que o antecederam, etc). Deve também auxiliar na indicação de quem vai tratá-lo na área, quando abri-lo e gerar um relatório periódico para os responsáveis sobre o prazo de vencimento. Gera arquivo e registra SLA.  (ps: aqui na área batizamos, como uma homenagem, essa ferramenta de Marcelle) ",Atuação Preventiva. Ganho de prazos.,,1.0,Aguardando priorização,Regulatorio,Alexandre Salem,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,Assistencia em lojas,Prover recursos para rapidos atendimento pelos  atendentes,,1.0,Aguardando priorização,Lojas,Caio Barreiro- Bain,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,Interactions analytics,"Resumo de reclamações, priorizadas por volume , urgencia",,1.0,Aguardando priorização,Atendimento,Caio Barreiro- Bain,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,Assistente AI ,Assistente  com gerador de argumentação para Chat do assistente,,1.0,Aguardando priorização,Atendimento,Caio Barreiro- Bain,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,Atendimento por Voz (Respostas do KB),Automatizar PA via IA,,1.0,Aguardando priorização,Atendimento,Celso Tonet,,,,,,Gen AI,,,,2.0,
Concluído,Concluido - Aguardando Go/No para Piloto,,,Just Talk DMA,Aplicativo com LLM proprietária usando reconhecimento de voz e uso de interface para iteração via produto digital,,1.0,Em defesa de piloto. Revendo a ficha com os resultados,Digital,Rodrigo Duclos,Digital,,,,,Gen AI,,,2025-08-08,2.0,
Não Iniciado,,,,Gen AI - Esteira de Privacy by Design,SLA de analise LGPD,,1.0,Aguardando priorização,LGPD,JOÃO GASTALDELLI,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,Bot Vendedor,Geração de subsidios/argumentos de vendas via chat,,1.0,Aguardando priorização,Comercial,Rogerio Ahouagi,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,URA ADAPTATIVA,"Elaborar uma URA sem a intrução de digite 1, digite 2 etc... Interagindo somente com conversa.",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,NBO ADAPTATIVO,Ouvir a conversa do cliente enquanto ele navega na URA para oferecer algum produto quando chegar ao atendimento,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,2.0,
Não Iniciado,,,,TREINAMENTOS E RECICLAGENS,Direcionamento de Treinamento e reciclagens de acordo com os insumos das chamadas ,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,NBO ADAPTATIVO,"Para a atuação com o Whats, criar variações de mensagens de acordo com o perfil de publico e análise da argumentação dos melhores vendedores ",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,AUTOMAÇÃO DE ATIVIDADES,Tabulação da chamada sem precisar da ação do vendedor.,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,URA ADAPTATIVA,Quando o cliente ligar no receptivo a IA reconhecer e com base no histórico do cliente já sugerir ações automáticas na URA que possam auxiliar e resolver a problema do cliente pelo atendimento automático sem passar por um humano.,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,"Utilizar a IA para corrigir o operador on line quando há falhas de qualidade no atendimento, para que seja corrigido no momento da ligação, além disso, a IA também possa sugerir fraseologias ou ações partindo do aprendizado de outros clientes com notas altas de satisfação, para garantir um atendimento de qualidade e um cliente satisfeito",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,"Aprender e padronizar as melhores técnicas de conversão em cada etapa do funil do Ativo: Alô, CPC, CPC com Negociação e conversão sobre CPC com Negociação.",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,Utilizar o IA para entender se todos os procedimentos qualitativos obrigatorios estão sendo seguidos ainda no decorrer da ligação e trazer um lembrete caso falte algum.,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,PREVENÇÃO DE PERDAS,"identificar atraves do IA as caracteristicas da vendas que geram mais churn, FPD, Silents",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,URA ADAPTATIVA,"Utilizar dados das transcrições das chamadas e váriáveis de mailing para identificar as palavras mais frequentes nas ligações de sucesso de vendas e a IA entregar um audio pronto para utilização em URA com um script de maior chance de sucesso, entonação, riitmo e sotaque",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,Respostas prontas para o vendedor repassar ao cliente de acordo com a fala do cliente,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,URA RESOLUTIVA,"Venda inteligente sem precisar de vendedor, de forma humaninzada",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,Forma inteligente para o vendedor pesquisar informações/combinações de preço,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,3.0,
Não Iniciado,,,,PREVENÇÃO DE PERDAS,IA Generativa para treinar o reconhecimento de possíveis fraudadores (combinando perfil conversacional vs dados de contato),,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,MELHORIA DA QUALIDADE,Pesquisa Conversacional - IA Generativa para acompanhar o atendimento e checar se existem itens não falados pelo operador e lembrá-lo antes do encerramento da venda - Melhor experiência e redução de processos consumeristas,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,APOIO IA NO MOMENTO DO CONTATO,IA pré-treinada (treinamento acumulado) para treinar / FAQ - criação de imagens e vídeos a partir do treino obtido com áudios e textos,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,PREVENÇÃO DE PERDAS,"Utilização de biometria via voz para antecipação de possível contrato de fraude e/ou ferramentas de controles que tornem o processo mais simples e garanta a segurança do clientes desde o primeiro ""alo"". ",,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
Não Iniciado,,,,OMNICHANNEL,Utilização da IA detectando através de comportamentos de áudio e voz o momento ideal de migrar uma abordagem tradicional (call center) para novos metodologias de abordagem (Whatsapp por exemplo). ,,1.0,Aguardando priorização,Canais Remotos,Sidney Neves,,,,,,Gen AI,,,,4.0,
